image_id,angle,speed
201,0.4747,1
202,0.865,1
203,0.6014,0
204,0.3849,1
205,0.6211,1
206,0.7949,0
207,0.6503,0
208,0.5182,0
209,0.6238,1
21,0.7979,1
210,0.6076,1
211,0.7478,1
212,0.5457,1
213,0.6943,1
214,0.438,1
215,0.7901,0
216,0.6704,0
217,0.7484,0
218,0.5722,1
219,0.5042,0
22,0.3613,1
220,0.668,0
221,0.7282,0
222,0.7946,0
223,0.722,1
224,0.023,1
225,0.5817,1
226,0.7917,1
227,0.2085,0
228,0.7877,1
229,0.4466,1
23,0.0966,0
230,0.339,1
231,0.5148,1
232,0.4298,1
233,0.8047,0
234,0.5611,0
235,0.6974,1
236,0.7981,0
237,0.6727,1
238,0.6225,0
239,0.4554,0
24,0.7019,0
240,0.5531,1
241,0.3557,0
242,0.7084,0
243,0.6687,0
244,0.7301,0
245,0.502,1
246,0.4004,1
247,0.5597,0
248,0.4726,1
249,0.7746,1
25,0.7324,0
250,0.7514,1
251,0.4801,1
252,0.5733,0
253,0.7628,0
254,0.7605,0
255,0.63,0
256,0.7133,1
257,0.6313,0
258,0.772,1
259,0.0756,1
26,0.7605,1
260,0.4484,0
261,0.7815,1
262,0.7453,0
263,0.7772,1
264,0.7153,0
265,0.546,0
266,0.701,0
267,0.6925,1
268,0.8801,1
269,0.6964,0
27,0.6748,0
270,0.2155,1
271,0.7302,1
272,0.1653,1
273,0.7449,0
274,0.6485,0
275,0.5973,1
276,0.2437,1
277,0.6237,1
278,0.5217,1
279,0.7644,0
28,0.625,0
280,0.5193,0
281,0.5551,0
282,0.7275,0
283,0.1042,1
284,0.5515,0
285,0.504,0
286,0.6817,0
287,0.4654,0
288,0.5756,0
289,0.4347,0
29,0.6512,0
290,0.5953,1
291,0.6599,1
292,0.8132,1
293,0.5348,1
294,0.7735,1
295,0.8074,0
296,0.4793,1
297,0.3588,0
298,0.5154,0
299,0.4633,1
3,0.1981,1
30,0.8056,1
300,0.5772,0
301,0.6705,0
302,0.4483,1
303,0.8697,0
304,0.6754,0
305,0.2717,1
306,0.6729,0
307,0.8035,1
308,0.5901,0
309,0.4343,1
31,0.3325,0
310,0.6536,1
311,0.6715,0
312,0.1374,1
313,0.6588,1
314,0.7907,1
315,0.498,0
316,0.4808,0
317,0.7727,1
318,0.152,1
319,0.4345,1
32,0.7696,1
320,0.5008,0
321,0.5194,0
322,0.5406,1
323,0.6919,1
324,0.7583,0
325,0.727,0
326,0.5848,0
327,0.354,0
328,0.8002,0
329,0.7972,1
33,0.6874,0
330,0.8521,1
331,0.7915,1
332,0.5585,0
333,0.7717,0
334,0.5787,0
335,0.7126,0
336,0.643,0
337,0.457,1
338,0.7261,0
339,0.957,1
34,0.82,0
340,0.4435,1
341,0.3363,1
342,0.7192,1
343,0.4806,0
344,0.7147,1
345,0.3726,0
346,0.7406,0
347,0.5432,0
348,0.7846,1
349,0.5324,1
35,0.5686,0
350,0.7132,1
351,0.5374,0
352,0.5034,0
353,0.4473,1
354,0.4775,0
355,0.5786,0
356,0.4406,0
357,0.4268,1
358,0.4993,1
359,0.7262,0
36,0.6983,1
360,0.7511,1
361,0.8616,1
362,0.5982,0
363,0.146,0
364,0.5186,0
365,0.715,1
366,0.4295,1
367,0.6948,1
368,0.7962,1
369,0.526,1
37,0.5398,1
370,0.4914,1
371,0.5088,0
372,0.5607,0
373,0.6766,0
374,0.4778,0
375,0.5716,1
376,0.4026,1
377,0.774,1
378,0.5265,1
379,0.7294,0
38,0.8662,1
380,0.62,0
381,0.3453,0
382,0.5169,0
383,0.6011,1
384,0.4343,1
385,0.5419,1
386,0.6957,0
387,0.5345,0
388,0.2225,1
389,0.4456,1
39,0.6344,0
390,0.596,1
391,0.0733,1
392,0.6175,1
393,0.5957,0
394,0.4871,0
395,0.7821,1
396,0.0377,1
397,0.2599,1
398,0.688,0
399,0.6138,0
4,0.2438,1
40,0.7206,1
400,0.74,1
401,0.4646,1
402,0.6374,1
403,0.023,1
404,0.5021,1
405,0.5807,1
406,0.5592,1
407,0.5821,0
408,0.7445,0
409,0.2674,1
41,0.6034,1
410,0.6934,1
411,0.7895,1
412,0.518,0
413,0.7266,0
414,0.8375,0
415,0.5205,1
416,0.5944,1
417,0.3981,1
418,0.6608,0
419,0.8212,0
42,0.6119,0
420,0.3384,1
421,0.6965,0
422,0.7054,0
423,0.7647,1
424,0.456,1
425,0.5341,1
426,0.4186,1
427,0.5406,0
428,0.4556,0
429,0.7903,1
43,0.2139,0
430,0.4468,1
431,0.7148,0
432,0.4789,1
433,0.7214,0
434,0.6775,1
435,0.6014,1
436,0.5369,0
437,0.3509,1
438,0.4253,0
439,0.7119,1
44,0.4817,0
440,0.2684,1
441,0.4881,1
442,0.023,1
443,0.1512,1
444,0.7531,0
445,0.4939,1
446,0.7884,1
447,0.6495,1
448,0.5437,0
449,0.7384,1
45,0.2425,1
450,0.887,0
451,0.6735,0
452,0.6234,1
453,0.5506,1
454,0.6853,1
455,0.7162,1
456,0.7046,1
457,0.6614,1
458,0.5141,1
459,0.6452,0
46,0.7064,0
460,0.1024,0
461,0.7198,0
462,0.6996,0
463,0.2427,0
464,0.6453,0
465,0.7913,0
466,0.722,0
467,0.6592,0
468,0.5142,0
469,0.7897,1
47,0.7768,1
470,0.5529,0
471,0.6679,0
472,0.5043,1
473,0.1182,1
474,0.4224,0
475,0.6172,1
476,0.1975,0
477,0.4186,1
478,0.4567,1
479,0.7714,1
48,0.658,0
480,0.5393,0
481,0.7094,0
482,0.4861,0
483,0.7112,0
484,0.6029,1
485,0.7836,1
486,0.5134,1
487,0.4488,1
488,0.6834,0
489,0.023,0
49,0.6085,1
490,0.4576,1
491,0.1397,1
492,0.722,1
493,0.5719,1
494,0.7072,1
495,0.5513,0
496,0.2878,0
497,0.7147,0
498,0.2509,0
499,0.5947,0
5,0.267,1
50,0.8894,0
500,0.4761,0
501,0.6335,1
502,0.7436,1
503,0.4885,0
504,0.5593,0
505,0.7714,1
506,0.7021,0
507,0.6027,1
508,0.4151,0
509,0.5272,1
51,0.6648,1
510,0.6281,1
511,0.776,1
512,0.6652,1
513,0.779,0
514,0.6798,0
515,0.3998,0
516,0.5898,0
517,0.7231,1
518,0.1767,0
519,0.6278,1
52,0.5621,1
520,0.5984,0
521,0.7422,0
522,0.4778,1
523,0.6713,1
524,0.4684,0
525,0.6891,0
526,0.4555,0
527,0.5583,1
528,0.5895,1
529,0.4949,1
53,0.7624,0
530,0.6377,0
531,0.7148,0
532,0.2497,1
533,0.6941,0
534,0.7204,0
535,0.5576,1
536,0.5213,1
537,0.7333,1
538,0.7672,1
539,0.3943,0
54,0.7679,1
540,0.1853,1
541,0.1466,1
542,0.6959,0
543,0.8455,1
544,0.6197,1
545,0.4654,1
546,0.9053,0
547,0.559,0
548,0.4309,0
549,0.7403,0
55,0.7145,0
550,0.5691,1
551,0.395,0
552,0.2033,1
553,0.3879,0
554,0.7598,1
555,0.0799,1
556,0.7482,0
557,0.261,0
558,0.5395,0
559,0.7365,1
56,0.6849,0
560,0.5577,0
561,0.5989,0
562,0.7501,0
563,0.685,1
564,0.7726,0
565,0.7267,1
566,0.4252,1
567,0.5513,0
568,0.7214,0
569,0.4158,1
57,0.6339,0
570,0.5245,0
571,0.5771,0
572,0.5184,0
573,0.7898,0
574,0.7725,1
575,0.3234,1
576,0.8858,0
577,0.8229,1
578,0.6983,0
579,0.5098,1
58,0.6991,0
580,0.4054,0
581,0.4482,1
582,0.4528,1
583,0.023,1
584,0.6544,1
585,0.6753,0
586,0.2571,1
587,0.7416,0
588,0.5217,1
589,0.4867,1
59,0.3148,0
590,0.4689,0
591,0.8754,1
592,0.6518,1
593,0.5066,1
594,0.7064,0
595,0.2026,1
596,0.0546,1
597,0.6788,0
598,0.4989,1
599,0.726,1
6,0.7738,0
60,0.8097,1
600,0.5328,0
601,0.7884,0
602,0.554,1
603,0.4552,1
604,0.6654,1
605,0.4476,1
606,0.2031,1
607,0.6877,1
608,0.5566,0
609,0.5762,0
61,0.7574,0
610,0.727,1
611,0.3096,1
612,0.8834,1
613,0.6865,1
614,0.5145,0
615,0.6046,1
616,0.734,1
617,0.77,0
618,0.7717,0
619,0.4766,0
62,0.5149,1
620,0.5495,0
621,0.6814,1
622,0.5137,0
623,0.6375,0
624,0.7678,1
625,0.6184,1
626,0.6237,1
627,0.1191,1
628,0.8073,1
629,0.5747,0
63,0.8056,1
630,0.4618,1
631,0.915,1
632,0.5762,1
633,0.6908,1
634,0.2336,1
635,0.4674,0
636,0.5996,0
637,0.6606,1
638,0.5237,0
639,0.5366,0
64,0.7452,0
640,0.7665,0
641,0.7831,1
642,0.7011,1
643,0.6709,0
644,0.6978,1
645,0.7017,0
646,0.76,0
647,0.6834,0
648,0.3798,0
649,0.5262,1
65,0.6965,1
650,0.5057,1
651,0.6002,0
652,0.612,0
653,0.423,1
654,0.7149,0
655,0.4659,1
656,0.6098,0
657,0.4782,1
658,0.678,1
659,0.7715,0
66,0.6532,0
660,0.6494,0
661,0.7718,1
662,0.6124,1
663,0.737,0
664,0.6384,0
665,0.5325,0
666,0.3713,0
667,0.3975,1
668,0.4483,1
669,0.5677,0
67,0.5153,0
670,0.4951,1
671,0.1809,1
672,0.6601,0
673,0.6382,0
674,0.6475,0
675,0.4849,1
676,0.1762,1
677,0.2808,0
678,0.6943,0
679,0.5129,0
68,0.5995,0
680,0.6191,1
681,0.6434,0
682,0.7327,1
683,0.3047,1
684,0.4565,0
685,0.672,0
686,0.6326,0
687,0.665,1
688,0.3113,1
689,0.7595,0
69,0.5216,0
690,0.5543,0
691,0.7792,1
692,0.485,1
693,0.442,1
694,0.1243,1
695,0.1835,1
696,0.7065,1
697,0.4324,0
698,0.4769,1
699,0.518,1
7,0.7457,1
70,0.6884,0
700,0.5706,1
701,0.6485,0
702,0.5824,0
703,0.2301,0
704,0.382,1
705,0.7167,1
706,0.67,1
707,0.4921,1
708,0.8095,1
709,0.2125,1
71,0.4429,1
710,0.7222,0
711,0.0831,1
712,0.1221,1
713,0.5214,0
714,0.3868,0
715,0.4272,1
716,0.5703,0
717,0.5317,1
718,0.6105,0
719,0.1222,1
72,0.7272,0
720,0.5443,0
721,0.7321,0
722,0.2785,0
723,0.7526,0
724,0.7268,0
725,0.7824,1
726,0.6585,0
727,0.7143,1
728,0.6695,0
729,0.3519,1
73,0.7465,0
730,0.4695,0
731,0.511,0
732,0.4483,0
733,0.6719,1
734,0.4978,1
735,0.3005,1
736,0.4464,0
737,0.6948,0
738,0.922,1
739,0.6872,0
74,0.6919,0
740,0.4702,0
741,0.7142,1
742,0.5687,0
743,0.7675,1
744,0.669,0
745,0.67,0
746,0.6534,0
747,0.5719,0
748,0.7694,0
749,0.0993,1
75,0.5155,0
750,0.6461,0
751,0.4926,0
752,0.0927,1
753,0.6602,0
754,0.4933,1
755,0.7507,0
756,0.7231,1
757,0.095,1
758,0.2866,0
759,0.1397,1
76,0.7484,1
760,0.4751,0
761,0.5224,1
762,0.5129,0
763,0.768,1
764,0.4089,1
765,0.7442,1
766,0.8461,1
767,0.702,0
768,0.4347,1
769,0.4984,1
77,0.7981,0
770,0.4805,0
771,0.3204,1
772,0.293,0
773,0.7884,1
774,0.4558,1
775,0.6922,0
776,0.7259,0
777,0.0891,1
778,0.5119,0
779,0.2441,1
78,0.191,1
780,0.6783,0
781,0.4529,1
782,0.527,1
783,0.7268,1
784,0.4248,0
785,0.1013,1
786,0.7224,0
787,0.513,1
788,0.7989,1
789,0.7013,0
79,0.5347,1
790,0.7099,1
791,0.5127,1
792,0.4657,1
793,0.6594,0
794,0.1832,1
795,0.7593,1
796,0.529,0
797,0.7285,0
798,0.7498,0
799,0.5445,1
8,0.7816,1
80,0.7413,1
800,0.6643,1
801,0.5276,0
802,0.8079,1
803,0.7288,0
804,0.1992,1
805,0.6088,0
806,0.7171,0
807,0.7623,0
808,0.5318,0
809,0.7359,0
81,0.7664,1
810,0.7722,1
811,0.7623,1
812,0.6888,0
813,0.7538,1
814,0.7997,1
815,0.4442,1
816,0.2864,1
817,0.6848,0
818,0.8222,0
819,0.6996,0
82,0.6949,1
820,0.6938,1
821,0.5007,1
822,0.7861,1
823,0.4877,0
824,0.4774,0
825,0.7288,0
826,0.5017,1
827,0.7063,0
828,0.5664,1
829,0.0672,0
83,0.7957,1
830,0.7304,1
831,0.7342,0
832,0.1429,1
833,0.4057,1
834,0.3707,1
835,0.719,0
836,0.3657,1
837,0.5371,0
838,0.5704,0
839,0.7509,0
84,0.4848,0
840,0.4639,1
841,0.5531,0
842,0.7709,1
843,0.4333,0
844,0.508,1
845,0.721,0
846,0.1096,1
847,0.8361,1
848,0.5691,0
849,0.7001,1
85,0.4365,1
850,0.5214,0
851,0.7336,0
852,0.5097,0
853,0.5601,1
854,0.823,0
855,0.6553,0
856,0.4431,1
857,0.5109,0
858,0.407,0
859,0.7039,0
86,0.4476,0
860,0.1791,1
861,0.7491,0
862,0.4356,1
863,0.4551,0
864,0.4817,1
865,0.6627,0
866,0.5543,1
867,0.4876,1
868,0.4421,0
869,0.6026,0
87,0.483,1
870,0.5263,0
871,0.5042,1
872,0.1894,0
873,0.4908,1
874,0.3191,1
875,0.5222,1
876,0.71,1
877,0.742,1
878,0.6233,1
879,0.4533,1
88,0.1347,1
880,0.6714,1
881,0.4571,1
882,0.3515,0
883,0.3771,1
884,0.6422,1
885,0.7791,0
886,0.4921,1
887,0.5679,0
888,0.7731,0
889,0.7287,0
89,0.5264,0
890,0.6903,1
891,0.4708,0
892,0.1747,1
893,0.3064,1
894,0.1266,1
895,0.53,0
896,0.5059,0
897,0.6136,0
898,0.518,0
899,0.571,0
9,0.6581,0
90,0.3322,1
900,0.4619,1
901,0.6747,0
902,0.4259,1
903,0.779,1
904,0.7418,1
905,0.8162,0
906,0.6896,0
907,0.7888,1
908,0.7283,1
909,0.4445,0
91,0.4854,1
910,0.512,0
911,0.6671,0
912,0.5013,0
913,0.7479,1
914,0.5174,0
915,0.5261,1
916,0.5117,0
917,0.6753,0
918,0.5401,1
919,0.7472,0
92,0.4819,1
920,0.6897,0
921,0.5067,0
922,0.7343,1
923,0.7379,1
924,0.5825,1
925,0.7126,1
926,0.3055,1
927,0.6518,0
928,0.7968,1
929,0.6234,1
93,0.7513,0
930,0.6907,0
931,0.9492,0
932,0.6675,0
933,0.8396,1
934,0.9161,1
935,0.6592,0
936,0.6092,1
937,0.3999,0
938,0.5189,0
939,0.569,1
94,0.2273,1
940,0.2891,0
941,0.2491,0
942,0.7912,0
943,0.6677,0
944,0.5645,0
945,0.5032,1
946,0.6707,0
947,0.2083,1
948,0.4922,1
949,0.7233,1
95,0.7196,0
950,0.6058,1
951,0.4692,1
952,0.1907,1
953,0.7504,0
954,0.716,0
955,0.4528,1
956,0.4742,0
957,0.6846,0
958,0.1887,1
959,0.1095,1
96,0.4933,0
960,0.0726,1
961,0.5303,1
962,0.3013,1
963,0.4445,0
964,0.5689,0
965,0.6624,0
966,0.4706,1
967,0.6753,1
968,0.6675,0
969,0.6174,0
97,0.2662,0
970,0.3368,0
971,0.8155,1
972,0.5309,1
973,0.579,0
974,0.5397,0
975,0.72,1
976,0.6514,1
977,0.5502,0
978,0.863,0
979,0.7802,1
98,0.6557,0
980,0.7408,1
981,0.7228,0
982,0.5935,1
983,0.685,0
984,0.7179,1
985,0.7051,0
986,0.3304,1
987,0.475,1
988,0.6569,0
989,0.684,0
99,0.4636,0
990,0.5818,1
991,0.6566,1
992,0.7209,1
993,0.1159,1
994,0.6519,0
995,0.4775,0
996,0.7707,1
997,0.0903,1
998,0.6659,0
999,0.797,1
